game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21501051,2016-03-21,MEM @ PHX,1610612756,t,L,19.0,51.0,0.271,240,30.0,76.0,0.395,11.0,28.0,0.393,26.0,34.0,1.0,9.0,36.0,45,22.0,8.0,10.0,17.0,18.0,97,1610612763,2015,Regular Season,2015-16
21500995,2016-03-14,MIN @ PHX,1610612756,t,W,18.0,49.0,0.269,240,40.0,95.0,0.421,11.0,35.0,0.314,16.0,20.0,1.0,19.0,38.0,57,22.0,8.0,3.0,23.0,26.0,107,1610612750,2015,Regular Season,2015-16
21500981,2016-03-12,GSW vs. PHX,1610612756,f,L,17.0,49.0,0.258,240,45.0,92.0,0.489,11.0,29.0,0.379,15.0,20.0,1.0,9.0,38.0,47,29.0,3.0,3.0,12.0,30.0,116,1610612744,2015,Regular Season,2015-16
21500956,2016-03-09,NYK @ PHX,1610612756,t,L,17.0,47.0,0.266,240,39.0,89.0,0.438,9.0,29.0,0.31,10.0,15.0,1.0,10.0,28.0,38,16.0,6.0,0.0,11.0,21.0,97,1610612752,2015,Regular Season,2015-16
21500932,2016-03-06,MEM vs. PHX,1610612756,f,W,17.0,46.0,0.27,240,37.0,71.0,0.521,12.0,28.0,0.429,23.0,30.0,1.0,10.0,37.0,47,24.0,3.0,3.0,15.0,23.0,109,1610612763,2015,Regular Season,2015-16
21500913,2016-03-04,ORL vs. PHX,1610612756,f,W,16.0,46.0,0.258,240,35.0,78.0,0.449,5.0,14.0,0.357,27.0,39.0,1.0,8.0,49.0,57,18.0,8.0,5.0,18.0,16.0,102,1610612753,2015,Regular Season,2015-16
21500783,2016-02-08,OKC @ PHX,1610612756,t,L,14.0,39.0,0.264,240,37.0,73.0,0.507,1.0,11.0,0.091,31.0,39.0,1.0,9.0,27.0,36,22.0,9.0,4.0,17.0,30.0,106,1610612760,2015,Regular Season,2015-16
21500749,2016-02-04,HOU @ PHX,1610612756,t,L,14.0,37.0,0.275,240,32.0,83.0,0.386,11.0,29.0,0.379,30.0,32.0,1.0,18.0,36.0,54,22.0,9.0,1.0,24.0,26.0,105,1610612745,2015,Regular Season,2015-16
21500644,2016-01-21,SAS @ PHX,1610612756,t,L,13.0,31.0,0.295,240,32.0,81.0,0.395,6.0,18.0,0.333,19.0,23.0,1.0,9.0,34.0,43,18.0,3.0,4.0,13.0,26.0,89,1610612759,2015,Regular Season,2015-16
21500610,2016-01-17,MIN vs. PHX,1610612756,f,L,13.0,29.0,0.31,240,35.0,81.0,0.432,3.0,15.0,0.2,14.0,25.0,1.0,9.0,21.0,30,16.0,5.0,2.0,15.0,29.0,87,1610612750,2015,Regular Season,2015-16
21500481,2015-12-30,SAS vs. PHX,1610612756,f,L,12.0,22.0,0.353,240,32.0,81.0,0.395,5.0,18.0,0.278,10.0,18.0,1.0,8.0,28.0,36,18.0,6.0,3.0,15.0,23.0,79,1610612759,2015,Regular Season,2015-16
21500396,2015-12-18,NOP @ PHX,1610612756,t,W,12.0,16.0,0.429,240,44.0,84.0,0.524,6.0,16.0,0.375,10.0,17.0,1.0,12.0,33.0,45,22.0,10.0,2.0,19.0,27.0,104,1610612740,2015,Regular Season,2015-16
21500326,2015-12-09,ORL @ PHX,1610612756,t,W,10.0,13.0,0.435,240,41.0,80.0,0.513,6.0,24.0,0.25,19.0,27.0,1.0,11.0,33.0,44,23.0,9.0,6.0,18.0,16.0,107,1610612753,2015,Regular Season,2015-16
21500299,2015-12-06,MEM vs. PHX,1610612756,f,L,8.0,13.0,0.381,240,36.0,82.0,0.439,9.0,31.0,0.29,12.0,17.0,1.0,11.0,36.0,47,20.0,8.0,5.0,18.0,24.0,93,1610612763,2015,Regular Season,2015-16
21500284,2015-12-04,WAS vs. PHX,1610612756,f,L,8.0,12.0,0.4,240,43.0,84.0,0.512,10.0,23.0,0.435,10.0,16.0,1.0,12.0,23.0,35,21.0,8.0,4.0,20.0,23.0,106,1610612764,2015,Regular Season,2015-16
21500097,2015-11-08,OKC vs. PHX,1610612756,f,L,3.0,4.0,0.429,240,38.0,84.0,0.452,7.0,16.0,0.438,20.0,26.0,1.0,7.0,26.0,33,18.0,7.0,1.0,23.0,25.0,103,1610612760,2015,Regular Season,2015-16
21501078,2016-03-25,MEM @ SAS,1610612759,t,W,61.0,11.0,0.847,240,44.0,77.0,0.571,7.0,18.0,0.389,15.0,18.0,1.0,8.0,29.0,37,25.0,7.0,5.0,14.0,12.0,110,1610612763,2015,Regular Season,2015-16
21500790,2016-02-10,ORL vs. SAS,1610612759,f,W,45.0,8.0,0.849,240,38.0,89.0,0.427,8.0,20.0,0.4,14.0,15.0,1.0,11.0,33.0,44,24.0,6.0,11.0,13.0,14.0,98,1610612753,2015,Regular Season,2015-16
21500767,2016-02-06,LAL @ SAS,1610612759,t,W,43.0,8.0,0.843,240,39.0,88.0,0.443,8.0,24.0,0.333,20.0,25.0,1.0,15.0,36.0,51,27.0,4.0,6.0,10.0,19.0,106,1610612747,2015,Regular Season,2015-16
21500653,2016-01-22,LAL vs. SAS,1610612759,f,W,38.0,6.0,0.864,240,43.0,85.0,0.506,11.0,21.0,0.524,11.0,13.0,1.0,7.0,28.0,35,26.0,10.0,13.0,6.0,14.0,108,1610612747,2015,Regular Season,2015-16
21500644,2016-01-21,PHX vs. SAS,1610612759,f,W,37.0,6.0,0.86,240,42.0,86.0,0.488,9.0,14.0,0.643,24.0,28.0,1.0,10.0,33.0,43,24.0,8.0,6.0,8.0,21.0,117,1610612756,2015,Regular Season,2015-16
21500590,2016-01-14,CLE @ SAS,1610612759,t,W,35.0,6.0,0.854,240,38.0,83.0,0.458,5.0,17.0,0.294,18.0,22.0,1.0,11.0,34.0,45,17.0,6.0,7.0,11.0,16.0,99,1610612739,2015,Regular Season,2015-16
21500546,2016-01-08,NYK @ SAS,1610612759,t,W,32.0,6.0,0.842,240,41.0,93.0,0.441,4.0,13.0,0.308,14.0,17.0,1.0,12.0,37.0,49,23.0,5.0,9.0,8.0,16.0,100,1610612752,2015,Regular Season,2015-16
21500481,2015-12-30,PHX @ SAS,1610612759,t,W,28.0,6.0,0.824,240,43.0,76.0,0.566,6.0,14.0,0.429,20.0,33.0,1.0,6.0,40.0,46,26.0,13.0,5.0,13.0,16.0,112,1610612756,2015,Regular Season,2015-16
21500393,2015-12-18,LAC @ SAS,1610612759,t,W,23.0,5.0,0.821,240,43.0,87.0,0.494,10.0,19.0,0.526,19.0,24.0,1.0,10.0,34.0,44,25.0,7.0,4.0,8.0,30.0,115,1610612746,2015,Regular Season,2015-16
21500342,2015-12-11,LAL @ SAS,1610612759,t,W,19.0,5.0,0.792,240,44.0,82.0,0.537,6.0,14.0,0.429,15.0,25.0,1.0,11.0,38.0,49,26.0,9.0,6.0,13.0,13.0,109,1610612747,2015,Regular Season,2015-16
21500280,2015-12-03,MEM vs. SAS,1610612759,f,W,16.0,4.0,0.8,240,40.0,80.0,0.5,10.0,18.0,0.556,13.0,18.0,1.0,10.0,38.0,48,27.0,8.0,8.0,15.0,21.0,103,1610612763,2015,Regular Season,2015-16
21500224,2015-11-25,DAL @ SAS,1610612759,t,W,12.0,3.0,0.8,240,33.0,81.0,0.407,8.0,28.0,0.286,14.0,19.0,1.0,12.0,40.0,52,23.0,6.0,4.0,13.0,12.0,88,1610612742,2015,Regular Season,2015-16
21500182,2015-11-20,NOP vs. SAS,1610612759,f,L,9.0,3.0,0.75,240,34.0,84.0,0.405,9.0,17.0,0.529,13.0,16.0,1.0,5.0,38.0,43,22.0,5.0,8.0,8.0,17.0,90,1610612740,2015,Regular Season,2015-16
21500061,2015-11-04,WAS vs. SAS,1610612759,f,L,3.0,2.0,0.6,240,37.0,81.0,0.457,7.0,22.0,0.318,18.0,20.0,1.0,9.0,40.0,49,21.0,5.0,3.0,20.0,21.0,99,1610612764,2015,Regular Season,2015-16
21500040,2015-11-01,BOS vs. SAS,1610612759,f,W,2.0,1.0,0.667,240,36.0,83.0,0.434,5.0,19.0,0.263,18.0,25.0,1.0,10.0,41.0,51,22.0,10.0,6.0,18.0,16.0,95,1610612738,2015,Regular Season,2015-16
41500235,2016-05-10,OKC @ SAS,1610612759,t,L,2.0,3.0,0.4,240,35.0,88.0,0.398,8.0,18.0,0.444,13.0,17.0,1.0,10.0,26.0,36,19.0,11.0,6.0,7.0,19.0,91,1610612760,2015,Playoffs,2015-16
41500231,2016-04-30,OKC @ SAS,1610612759,t,W,1.0,0.0,1.0,240,51.0,84.0,0.607,9.0,15.0,0.6,13.0,18.0,1.0,5.0,38.0,43,39.0,5.0,10.0,8.0,16.0,124,1610612760,2015,Playoffs,2015-16
41500153,2016-04-22,MEM vs. SAS,1610612759,f,W,3.0,0.0,1.0,240,35.0,77.0,0.455,12.0,26.0,0.462,14.0,19.0,1.0,7.0,32.0,39,24.0,10.0,12.0,9.0,20.0,96,1610612763,2015,Playoffs,2015-16
21501008,2016-03-16,MEM vs. MIN,1610612750,f,W,22.0,46.0,0.324,240,40.0,71.0,0.563,10.0,21.0,0.476,24.0,31.0,1.0,7.0,26.0,33,31.0,5.0,8.0,13.0,20.0,114,1610612763,2015,Regular Season,2015-16
21500995,2016-03-14,PHX vs. MIN,1610612750,f,L,21.0,46.0,0.313,240,37.0,84.0,0.44,4.0,16.0,0.25,26.0,30.0,1.0,6.0,30.0,36,25.0,13.0,4.0,16.0,20.0,104,1610612756,2015,Regular Season,2015-16
21500945,2016-03-08,SAS @ MIN,1610612750,t,L,20.0,45.0,0.308,240,36.0,79.0,0.456,4.0,15.0,0.267,15.0,19.0,1.0,7.0,28.0,35,18.0,5.0,2.0,15.0,17.0,91,1610612759,2015,Regular Season,2015-16
21500926,2016-03-05,BKN @ MIN,1610612750,t,W,20.0,43.0,0.317,240,52.0,76.0,0.684,10.0,18.0,0.556,18.0,22.0,1.0,4.0,26.0,30,36.0,8.0,8.0,12.0,26.0,132,1610612751,2015,Regular Season,2015-16
21500904,2016-03-02,WAS @ MIN,1610612750,t,L,19.0,42.0,0.311,240,32.0,75.0,0.427,5.0,14.0,0.357,29.0,34.0,1.0,9.0,36.0,45,17.0,8.0,2.0,19.0,20.0,98,1610612764,2015,Regular Season,2015-16
21500882,2016-02-28,DAL vs. MIN,1610612750,f,L,19.0,41.0,0.317,240,34.0,90.0,0.378,7.0,23.0,0.304,26.0,37.0,1.0,23.0,30.0,53,19.0,5.0,3.0,15.0,17.0,101,1610612742,2015,Regular Season,2015-16
21500838,2016-02-22,BOS @ MIN,1610612750,t,W,18.0,39.0,0.316,240,43.0,83.0,0.518,8.0,15.0,0.533,30.0,40.0,1.0,15.0,36.0,51,24.0,5.0,6.0,17.0,17.0,124,1610612738,2015,Regular Season,2015-16
21500745,2016-02-03,LAC vs. MIN,1610612750,f,W,15.0,36.0,0.294,240,39.0,77.0,0.506,8.0,17.0,0.471,22.0,26.0,1.0,10.0,32.0,42,24.0,6.0,3.0,15.0,24.0,108,1610612746,2015,Regular Season,2015-16
21500626,2016-01-19,NOP vs. MIN,1610612750,f,L,13.0,30.0,0.302,240,36.0,76.0,0.474,3.0,14.0,0.214,24.0,31.0,1.0,12.0,27.0,39,18.0,10.0,7.0,16.0,21.0,99,1610612740,2015,Regular Season,2015-16
21500610,2016-01-17,PHX @ MIN,1610612750,t,W,13.0,29.0,0.31,240,39.0,69.0,0.565,7.0,18.0,0.389,32.0,40.0,1.0,8.0,33.0,41,23.0,11.0,7.0,15.0,25.0,117,1610612756,2015,Regular Season,2015-16
21500581,2016-01-13,HOU vs. MIN,1610612750,f,L,12.0,28.0,0.3,240,36.0,78.0,0.462,8.0,17.0,0.471,24.0,30.0,1.0,14.0,29.0,43,25.0,11.0,1.0,20.0,27.0,104,1610612745,2015,Regular Season,2015-16
21500574,2016-01-12,OKC @ MIN,1610612750,t,L,12.0,27.0,0.308,240,36.0,81.0,0.444,7.0,18.0,0.389,17.0,23.0,1.0,11.0,34.0,45,22.0,7.0,6.0,18.0,15.0,96,1610612760,2015,Regular Season,2015-16
21500500,2016-01-02,MIL @ MIN,1610612750,t,L,12.0,22.0,0.353,240,33.0,84.0,0.393,3.0,14.0,0.214,16.0,24.0,1.0,16.0,31.0,47,19.0,10.0,6.0,16.0,18.0,85,1610612749,2015,Regular Season,2015-16
21500486,2015-12-31,DET vs. MIN,1610612750,f,L,12.0,21.0,0.364,240,35.0,86.0,0.407,5.0,14.0,0.357,15.0,19.0,1.0,6.0,30.0,36,22.0,9.0,3.0,15.0,24.0,90,1610612765,2015,Regular Season,2015-16
21500411,2015-12-21,BOS vs. MIN,1610612750,f,L,11.0,17.0,0.393,240,36.0,79.0,0.456,2.0,13.0,0.154,25.0,32.0,1.0,6.0,30.0,36,20.0,9.0,6.0,12.0,19.0,99,1610612738,2015,Regular Season,2015-16
21500311,2015-12-07,LAC @ MIN,1610612750,t,L,8.0,12.0,0.4,240,36.0,82.0,0.439,7.0,18.0,0.389,27.0,35.0,1.0,11.0,35.0,46,18.0,10.0,3.0,18.0,29.0,106,1610612746,2015,Regular Season,2015-16
21500294,2015-12-05,POR @ MIN,1610612750,t,L,8.0,11.0,0.421,240,38.0,83.0,0.458,5.0,15.0,0.333,22.0,26.0,1.0,13.0,32.0,45,24.0,3.0,4.0,14.0,24.0,103,1610612757,2015,Regular Season,2015-16
21500237,2015-11-27,SAC vs. MIN,1610612750,f,W,8.0,8.0,0.5,240,37.0,77.0,0.481,9.0,25.0,0.36,18.0,19.0,1.0,12.0,34.0,46,20.0,4.0,3.0,17.0,19.0,101,1610612758,2015,Regular Season,2015-16
21500127,2015-11-13,IND vs. MIN,1610612750,f,L,4.0,5.0,0.444,240,42.0,83.0,0.506,7.0,20.0,0.35,12.0,13.0,1.0,8.0,31.0,39,16.0,5.0,0.0,15.0,19.0,103,1610612754,2015,Regular Season,2015-16
21500125,2015-11-12,GSW @ MIN,1610612750,t,L,4.0,4.0,0.5,240,43.0,87.0,0.494,3.0,9.0,0.333,27.0,36.0,1.0,15.0,32.0,47,21.0,4.0,1.0,13.0,18.0,116,1610612744,2015,Regular Season,2015-16
21501210,2016-04-11,UTA vs. DAL,1610612742,f,W,42.0,39.0,0.519,240,36.0,81.0,0.444,11.0,32.0,0.344,18.0,22.0,1.0,10.0,37.0,47,19.0,7.0,2.0,9.0,15.0,101,1610612762,2015,Regular Season,2015-16
21501095,2016-03-27,SAC vs. DAL,1610612742,f,L,35.0,38.0,0.479,240,42.0,88.0,0.477,8.0,24.0,0.333,19.0,24.0,1.0,12.0,29.0,41,22.0,6.0,2.0,13.0,24.0,111,1610612758,2015,Regular Season,2015-16
21501067,2016-03-23,POR vs. DAL,1610612742,f,L,35.0,36.0,0.493,240,42.0,96.0,0.438,9.0,30.0,0.3,10.0,11.0,1.0,11.0,36.0,47,21.0,8.0,6.0,17.0,17.0,103,1610612757,2015,Regular Season,2015-16
21501037,2016-03-20,POR @ DAL,1610612742,t,W,35.0,35.0,0.5,265,49.0,89.0,0.551,15.0,25.0,0.6,19.0,23.0,1.0,8.0,42.0,50,31.0,7.0,8.0,16.0,21.0,132,1610612757,2015,Regular Season,2015-16
21500988,2016-03-14,CHA vs. DAL,1610612742,f,W,34.0,33.0,0.507,240,42.0,87.0,0.483,9.0,30.0,0.3,14.0,18.0,1.0,6.0,36.0,42,30.0,9.0,6.0,14.0,26.0,107,1610612766,2015,Regular Season,2015-16
21500942,2016-03-07,LAC @ DAL,1610612742,t,L,33.0,31.0,0.516,240,30.0,81.0,0.37,4.0,25.0,0.16,26.0,32.0,1.0,12.0,39.0,51,15.0,5.0,1.0,15.0,19.0,90,1610612746,2015,Regular Season,2015-16
21500882,2016-02-28,MIN @ DAL,1610612742,t,W,32.0,28.0,0.533,240,47.0,89.0,0.528,13.0,36.0,0.361,21.0,21.0,1.0,8.0,35.0,43,34.0,9.0,6.0,8.0,26.0,128,1610612750,2015,Regular Season,2015-16
21500866,2016-02-26,DEN @ DAL,1610612742,t,W,31.0,28.0,0.525,265,45.0,88.0,0.511,11.0,29.0,0.379,21.0,27.0,1.0,10.0,35.0,45,25.0,9.0,1.0,14.0,25.0,122,1610612743,2015,Regular Season,2015-16
21500852,2016-02-24,OKC @ DAL,1610612742,t,L,30.0,28.0,0.517,240,35.0,86.0,0.407,9.0,28.0,0.321,24.0,30.0,1.0,13.0,29.0,42,26.0,10.0,4.0,10.0,21.0,103,1610612760,2015,Regular Season,2015-16
21500765,2016-02-06,MEM vs. DAL,1610612742,f,W,29.0,25.0,0.537,265,38.0,88.0,0.432,15.0,38.0,0.395,23.0,33.0,1.0,9.0,33.0,42,26.0,6.0,1.0,5.0,21.0,114,1610612763,2015,Regular Season,2015-16
21500723,2016-02-01,ATL vs. DAL,1610612742,f,L,28.0,23.0,0.549,240,31.0,85.0,0.365,7.0,26.0,0.269,28.0,38.0,1.0,10.0,27.0,37,14.0,5.0,2.0,6.0,18.0,97,1610612737,2015,Regular Season,2015-16
