person_id,display_first_last,from_year,to_year,draft_year,height_feet,height_inches,weight,team_id,jersey,school,country
77498,Bob McAdoo,1972,1985,1972,6,9,210,1610612746,11,North Carolina,USA
77499,Ken McBride,1954,1954,1952,6,3,190,1610612737,4,Maryland-Eastern Shore,USA
77500,Brendan McCann,1957,1959,1957,6,2,178,1610612752,3,St. Bonaventure,USA
77502,Mel McCants,1989,1989,,6,8,240,1610612747,49,Purdue,USA
77503,Mike McCarron,1946,1949,,5,11,180,1610610035,,Seton Hall,USA
77504,Andre McCarter,1976,1980,1976,6,3,190,1610612758,33,UCLA,USA
77505,Willie McCarter,1969,1971,1969,6,3,175,1610612747,17,Drake,USA
77507,Howie McCarty,1946,1946,,,,,1610610028,,Wayne State,USA
77509,Dwayne McClain,1985,1985,1985,6,6,185,1610612754,44,Villanova,USA
77510,"Ted, Hound Dog McClain",1976,1978,1971,6,1,180,1610612743,12,Tennessee State,USA
77512,Jack McCloskey,1952,1952,,6,2,190,1610612744,,Pennsylvania,USA
77513,John McConathy,1951,1951,1951,6,5,195,1610612737,15,Northwestern State,USA
77516,Tim McCormick,1984,1991,1984,6,11,240,1610612760,44,Michigan,USA
77517,Paul McCracken,1972,1976,,6,4,180,1610612745,7,California State-Northridge,USA
77518,Scooter McCray,1983,1986,1983,6,9,215,1610612760,20,Louisville,USA
77520,John McCullough,1981,1981,1979,6,4,190,1610612756,8,Oklahoma,USA
77523,Jim McDaniels,1971,1977,1971,6,11,228,1610612760,44,Western Kentucky,USA
77524,Ben McDonald,1985,1988,1984,6,8,210,1610612744,30,California-Irvine,USA
77525,Glenn McDonald,1974,1976,1974,6,6,190,1610612738,13,Long Beach State,USA
77527,Hank McDowell,1981,1986,1981,6,9,215,1610612746,41,Memphis,USA
77528,Jim McElroy,1975,1981,1975,6,3,190,1610612762,33,Central Michigan,USA
77530,Mike McGee,1981,1989,1981,6,5,190,1610612747,40,Michigan,USA
77531,Bill McGill,1962,1964,1962,6,9,225,1610612752,40,Utah,USA
77532,George McGinnis,1975,1981,1973,6,8,235,1610612755,30,Indiana,USA
77534,Gil McGregor,1971,1971,1971,6,8,240,1610612758,25,Wake Forest,USA
77535,Allie McGuire,1973,1973,1973,6,3,175,1610612752,16,Marquette,USA
77536,Al McGuire,1951,1954,1951,6,2,180,1610612752,,St. John's (NY),USA
77537,Dick McGuire,1949,1959,1949,6,0,180,1610612752,15,St. John's (NY),USA
77540,Kenny McIntosh,1971,1974,1971,6,7,225,1610612760,43,Eastern Michigan,USA
77541,Kevin McKenna,1981,1987,1981,6,5,195,1610612751,12,Creighton,USA
77542,Forrest McKenzie,1986,1986,1986,6,7,200,1610612759,7,Loyola-Marymount,USA
77543,Stan McKenzie,1967,1973,1966,6,5,195,1610612757,40,New York University,USA
77545,Carlton McKinney,1989,1991,,6,4,190,1610612746,4,Southern Methodist,USA
77546,Horace McKinney,1946,1951,,6,6,185,1610610036,17,North Carolina,USA
77548,Mccoy McLemore,1964,1971,1964,6,7,230,1610612744,18,Drake,USA
77551,Jack McMahon,1952,1959,1952,6,1,185,1610612737,21,St. John's (NY),USA
77553,Tom McMillen,1975,1985,1974,6,11,215,1610612737,54,Maryland,USA
77554,Jim McMillian,1970,1978,1970,6,5,215,1610612747,5,Columbia,USA
77555,Shellie McMillon,1958,1961,1958,6,5,205,1610612765,25,Bradley,USA
77558,Mark McNamara,1982,1990,1982,6,11,235,1610612755,31,California,USA
77559,Joe McNamee,1950,1951,1950,6,6,210,1610612758,,San Francisco,USA
77561,Larry McNeill,1973,1978,1973,6,9,195,1610612758,32,Marquette,USA
77562,Bob McNeill,1960,1961,1960,6,1,170,1610612752,52,St. Joseph's (PA),USA
77563,Carl McNulty,1954,1954,1952,6,3,185,1610612737,6,Purdue,USA
77566,Thales McReynolds,1965,1965,1965,6,3,185,1610612764,11,Miles,USA
77567,Eric McWilliams,1972,1972,1972,6,8,200,1610612745,22,Long Beach State,USA
77568,George Mearns,1946,1947,,6,3,175,1610610032,,Rhode Island,USA
77570,Cliff Meely,1971,1975,1971,6,8,215,1610612745,21,Colorado,USA
77572,Dick Mehen,1949,1951,,6,5,195,1610612765,17,Tennessee,USA
77573,Don Meineke,1952,1957,1952,6,7,208,1610612765,22,Dayton,USA
77576,Bill Melchionni,1966,1967,1966,6,1,165,1610612755,25,Villanova,USA
77577,Ed Melvin,1946,1946,,5,9,170,1610610031,,Duquesne,USA
77578,Dean Meminger,1971,1976,1971,6,1,175,1610612752,7,Marquette,USA
77579,Chuck Mencel,1955,1956,1955,6,0,168,1610612747,18,Minnesota,USA
77580,John Mengelt,1971,1980,1971,6,2,195,1610612765,15,Auburn,USA
77581,Ken Menke,1949,1949,,6,0,168,1610610037,,Illinois,USA
77582,Joe Meriweather,1975,1984,1975,6,10,215,1610612758,50,Southern Illinois,USA
77583,Porter Meriwether,1962,1962,1962,6,2,180,1610612755,14,Tennessee State,USA
77584,Tom Meschery,1961,1970,1961,6,6,215,1610612744,14,St. Mary's (CA),USA
77586,Dave Meyers,1975,1979,1975,6,9,215,1610612749,7,UCLA,USA
77587,Stan Miasek,1946,1952,,6,5,210,1610610025,3,No School,USA
77588,Larry Micheaux,1983,1984,1983,6,9,220,1610612745,40,Houston,USA
77589,Zigmund Mihalik,1946,1946,,6,0,180,1610610031,,Ford City HS (PA),USA
